stamp,RED,YELLOW,GREEN,SKIP,ERROR,findings,buckets,source
20260713T091131Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T081757Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T082943Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T083222Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T144029Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T144559Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T145105Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T145301Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T145354Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T145522Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T150038Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T150501Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T151529Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T151531Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T151721Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T151723Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T223311Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T224312Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260715T230520Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T024221Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T090012Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T124810Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T124852Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T145141Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T145155Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T145618Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T150843Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T151555Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T164315Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T164951Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T172631Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T172842Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260721T173255Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260722T105111Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260722T110612Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260722T114841Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260722T114944Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260722T115020Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260727T070549Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260803T073340Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260803T073509Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260806T001940Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260806T002003Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260806T002006Z,12,561,4701,1530,0,6804,486,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
