대조 셀 4,502  |  불일치 182  |  raw없음 0 (회사,분기)  앵커불가 21

회사            분기        item 열                   저장         원문환산       차이  원문(백만원)
흥국화재          2025.3Q     39 값_적용후           328.90       328.89    +0.01  32,889
흥국화재          2025.4Q     37 값_적용후         2,754.41     2,754.39    +0.02  275,439
흥국화재          2025.4Q     38 값_적용후         1,485.02     1,485.01    +0.01  148,501
흥국화재          2026.1Q     37 값_적용후         3,052.33     3,052.32    +0.01  305,232
흥국화재          2026.1Q     38 값_적용후         1,484.90     1,484.89    +0.01  148,489
NH농협손해보험      2023.2Q     36 값_적용후         1,020.57         0.00 +1020.57  0
NH농협손해보험      2023.2Q     37 값_적용후         2,573.42         0.00 +2573.42  0
NH농협손해보험      2023.2Q     38 값_적용후           974.52         0.00  +974.52  0
NH농협손해보험      2023.2Q     39 값_적용후           213.93         0.00  +213.93  0
NH농협손해보험      2023.3Q     36 값_적용후         1,525.43         0.00 +1525.43  0
NH농협손해보험      2023.3Q     37 값_적용후         2,480.05         0.00 +2480.05  0
NH농협손해보험      2023.3Q     38 값_적용후           970.62         0.00  +970.62  0
NH농협손해보험      2023.3Q     39 값_적용후           203.58         0.00  +203.58  0
악사손해보험        2023.2Q     36 값_적용후           129.42         0.00  +129.42  0
악사손해보험        2023.2Q     37 값_적용후            16.68         0.00   +16.68  0
악사손해보험        2023.2Q     38 값_적용후           174.03         0.00  +174.03  0
악사손해보험        2023.2Q     39 값_적용후           212.78         0.00  +212.78  0
악사손해보험        2023.2Q     40 값_적용후           140.87         0.00  +140.87  0
에이비엘생명보험      2025.1Q     36 값_적용후           660.69       660.71    -0.02  66,071
에이비엘생명보험      2025.1Q     37 값_적용후         3,181.97     3,182.05    -0.08  318,205
에이비엘생명보험      2025.1Q     38 값_적용후         1,426.82     1,426.85    -0.03  142,685
에이비엘생명보험      2025.1Q     39 값_적용후         1,577.90     1,577.94    -0.04  157,794
에이비엘생명보험      2025.2Q     36 값_적용후           245.44       245.45    -0.01  24,545
에이비엘생명보험      2025.2Q     37 값_적용후         3,122.35     3,122.44    -0.09  312,244
에이비엘생명보험      2025.2Q     38 값_적용후         1,401.80     1,401.84    -0.04  140,184
에이비엘생명보험      2025.2Q     39 값_적용후         1,638.81     1,638.85    -0.04  163,885
에이비엘생명보험      2025.3Q     37 값_적용후         3,546.75     3,546.80    -0.05  354,680
에이비엘생명보험      2025.3Q     38 값_적용후         1,407.65     1,407.67    -0.02  140,767
에이비엘생명보험      2025.3Q     39 값_적용후         1,735.08     1,735.11    -0.03  173,511
